Versions, No. of commits, No. of Contributors ,No. of Lines changed,No. of Bugs 
v3_1, 13098 ,36 ,64273, 2015
v3_0, 12606 ,35 ,62458, 1883
v2_13, 11018 ,33 ,54059, 1558
v2_11, 10296 ,29 ,50959, 1323
v2_10, 10144 ,29 ,50474, 1288
v2_9, 9353 ,28 ,47862, 1074
v2_8, 9071 ,28 ,46523, 966
v2_7, 8498 ,28 ,44750, 909
v2_6, 8168 ,28 ,43562, 770
v2_5_1, 7400 ,27 ,40924, 552
v2_5, 7241 ,27 ,40388, 513
v2_3_4, 6158 ,26 ,35332, 362
v2_3_3, 6126 ,26 ,35211, 358
v2_3_2, 5547 ,26 ,31477, 299
v2_3, 4543 ,26 ,25076, 247
